title,ratings,time_period,image
1. Breaking Bad,9.5 (2.3M),2008–2013,https://tinyurl.com/269uv5pl
2. Planet Earth II,9.4 (166K),2016,https://tinyurl.com/28lvnxft
3. Planet Earth,9.4 (227K),2006,https://tinyurl.com/26l2p9o8
4. Band of Brothers,9.4 (562K),2001,https://tinyurl.com/2648gd97
5. Chernobyl,9.3 (949K),2019,https://tinyurl.com/2aosr92r
6. The Wire,9.3 (403K),2002–2008,https://tinyurl.com/2xs6qwnc
7. Avatar: The Last Airbender,9.3 (406K),2005–2008,https://tinyurl.com/2523el3f
8. Blue Planet II,9.3 (52K),2017,https://tinyurl.com/23yllpea
9. The Sopranos,9.2 (524K),1999–2007,https://tinyurl.com/24w3dmj2
10. Cosmos: A Spacetime Odyssey,9.2 (134K),2014,https://tinyurl.com/23yejbd2
11. Cosmos,9.3 (48K),1980,https://tinyurl.com/2cy3a2gj
12. Our Planet,9.2 (57K),2019–2023,https://tinyurl.com/2beqmq3p
13. Game of Thrones,9.2 (2.4M),2011–2019,https://tinyurl.com/23na2o7q
14. Bluey,9.3 (38K),2018– ,https://tinyurl.com/29nbwqxq
15. The World at War,9.2 (33K),1973–1974,https://tinyurl.com/278pbrsl
16. Hagane no renkinjutsushi,9.1 (221K),2009–2010,https://tinyurl.com/27cbrnon
17. Life,9.1 (46K),2009,https://tinyurl.com/28wh272r
18. Rick and Morty,9.1 (649K),2013– ,https://tinyurl.com/23qy8tvt
19. The Last Dance,9.0 (166K),2020,https://tinyurl.com/29j7rbz4
20. The Twilight Zone,9.0 (101K),1959–1964,https://tinyurl.com/2cxdaekq
21. Shingeki no Kyojin,9.1 (609K),2013–2023,https://tinyurl.com/27dl98w5
22. The Vietnam War,9.1 (31K),2017,https://tinyurl.com/26xbdcrq
23. Sherlock,9.0 (1M),2010–2017,https://tinyurl.com/2ckp9s6r
24. Batman: The Animated Series,9.0 (127K),1992–1995,https://tinyurl.com/23chl3jk
25. Arcane: League of Legends,9.0 (395K),2021–2024,https://tinyurl.com/228lwv3u
26. Better Call Saul,9.0 (731K),2015–2022,https://tinyurl.com/26zzlzyd
27. The Office,9.0 (775K),2005–2013,https://tinyurl.com/23gcvp8w
28. The Blue Planet,9.0 (46K),2001,https://tinyurl.com/2yqls5fv
29. Scam 1992: The Harshad Mehta Story,9.2 (165K),2020,https://tinyurl.com/27me9nh3
30. Clarkson's Farm,9.0 (72K),2021– ,https://tinyurl.com/2bogp9zo
31. Human Planet,9.0 (30K),2011,https://tinyurl.com/2ywwh733
32. Frozen Planet,9.0 (36K),2011–2012,https://tinyurl.com/23k4one7
33. Hunter x Hunter,9.0 (164K),2011–2014,https://tinyurl.com/28fyjyh2
34. Only Fools and Horses,9.0 (61K),1981–2003,https://tinyurl.com/2clv6mu5
35. Firefly,8.9 (291K),2002–2003,https://tinyurl.com/2ddjlk8y
36. The Civil War,9.0 (21K),1990,https://tinyurl.com/24rll3zy
37. Death Note: Desu nôto,8.9 (425K),2006–2007,https://tinyurl.com/29cn2sto
38. Gravity Falls,8.9 (157K),2012–2016,https://tinyurl.com/24llj6g8
39. Gibi,9.0 (29K),2021– ,https://tinyurl.com/25j3xjrm
40. Seinfeld,8.9 (369K),1989–1998,https://tinyurl.com/23yugz7k
41. Dekalog,8.9 (31K),1989–1990,https://tinyurl.com/2ylkkm38
42. The Beatles: Get Back,8.9 (32K),2021,https://tinyurl.com/2dd5gp5z
43. Kaubôi bibappu: Cowboy Bebop,8.9 (154K),1998–1999,https://tinyurl.com/256a8k77
44. True Detective,8.9 (702K),2014– ,https://tinyurl.com/246o2vgc
45. Fargo,8.8 (445K),2014–2024,https://tinyurl.com/29wuld2k
46. Nathan for You,8.9 (44K),2013–2017,https://tinyurl.com/24la2tys
47. The Pitt,8.9 (45K),2025– ,https://tinyurl.com/2dym6apz
48. Sahsiyet,9.0 (52K),2018–2024,https://tinyurl.com/2274jpw6
49. Apocalypse: La 2ème guerre mondiale,9.0 (17K),2009,https://tinyurl.com/2948zoq6
50. Taskmaster,9.0 (25K),2015– ,https://tinyurl.com/256j3dxh
51. Sôsô no Furîren,8.9 (41K),2023– ,https://tinyurl.com/23lwpx4a
52. Africa,8.9 (19K),2013,https://tinyurl.com/2djhywlo
53. When They See Us,8.8 (148K),2019,https://tinyurl.com/26dephxk
